City,RegionID,StateName,2017-01-31,2017-02-28,2017-03-31,2017-04-30,2017-05-31,2017-06-30,2017-07-31,2017-08-31,2017-09-30,2017-10-31,2017-11-30,2017-12-31,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31
San Francisco,395057,CA,673333.0,668417.0,685750.0,732417.0,760667.0,775000.0,768333.0,761667.0,750000.0,756333.0,769500.0,772833.0,748250.0,740083.0,765083.0,813000.0,844667.0,859667.0,855000.0,835000.0,805833.0,802500.0,802500.0,798000.0,763000.0,756333.0,767000.0,810333.0,835333.0,853333.0,839367.0,821033.0,796367.0,803313.0,809851.0,816184.0,794871.0,781667.0,790000.0,818167.0,836500.0,848167.0,863333.0,885333.0,898667.0,900000.0,901333.0,891333.0,872333.0,870667.0,900667.0,972333.0,1031000.0,1061000.0,1058667.0,1033333.0
Detroit,394532,MI,163633.0,160300.0,158467.0,164833.0,172833.0,181167.0,183833.0,185833.0,181667.0,180000.0,175667.0,176333.0,171333.0,169000.0,168333.0,171667.0,179967.0,186633.0,192300.0,192958.0,188625.0,184625.0,180333.0,178500.0,174500.0,172241.0,173408.0,177408.0,186667.0,193333.0,200433.0,200433.0,200433.0,197333.0,194000.0,189833.0,185833.0,182500.0,185667.0,194333.0,199333.0,203648.0,209982.0,217315.0,221333.0,218000.0,217167.0,213833.0,208833.0,202667.0,203667.0,211983.0,226617.0,234950.0,241600.0,241633.0
Riverside,395025,CA,326333.0,328000.0,329667.0,336333.0,339667.0,343333.0,346667.0,349667.0,348667.0,347000.0,347333.0,350000.0,352417.0,357417.0,359917.0,364417.0,366083.0,368583.0,371150.0,370317.0,371050.0,368400.0,371233.0,370500.0,368667.0,366667.0,368500.0,374583.0,376250.0,376083.0,376333.0,377333.0,378997.0,379330.0,382497.0,384167.0,385833.0,388000.0,392000.0,393667.0,395667.0,398667.0,407000.0,414000.0,422000.0,427000.0,431833.0,435167.0,437750.0,442583.0,450917.0,462500.0,474167.0,484167.0,493667.0,498667.0
Phoenix,394976,AZ,242883.0,242831.0,242831.0,244901.0,246967.0,250633.0,253333.0,254667.0,254330.0,255830.0,257163.0,258778.0,258615.0,260932.0,262654.0,264175.0,266698.0,270031.0,274465.0,274482.0,274482.0,274524.0,275667.0,277298.0,277298.0,276631.0,275667.0,277333.0,281748.0,285081.0,287719.0,288305.0,289972.0,293000.0,294663.0,296996.0,297163.0,298833.0,300833.0,302000.0,302000.0,303654.0,308987.0,317321.0,324000.0,330967.0,334300.0,335967.0,338333.0,345000.0,355000.0,365667.0,379000.0,390667.0,400408.0,406075.0
Seattle,395078,WA,395120.0,394833.0,397167.0,414023.0,427443.0,440683.0,443466.0,443713.0,441593.0,441662.0,442995.0,447542.0,444500.0,449956.0,455862.0,478267.0,487716.0,491810.0,485462.0,478873.0,470472.0,463915.0,462265.0,463333.0,460000.0,465000.0,476333.0,491333.0,503000.0,506667.0,506667.0,500000.0,491333.0,490500.0,491242.0,501108.0,501192.0,508767.0,514233.0,526317.0,524667.0,529650.0,536650.0,551650.0,560000.0,563333.0,563333.0,556667.0,555000.0,558333.0,578333.0,603000.0,631333.0,648000.0,657983.0,658983.0
Minneapolis-St Paul,394865,MN,230267.0,227267.0,228983.0,234758.0,241425.0,248246.0,250505.0,253421.0,251135.0,248802.0,245886.0,246300.0,246007.0,247340.0,249699.0,254958.0,259958.0,262633.0,265000.0,264983.0,264950.0,264950.0,265967.0,265967.0,264300.0,262615.0,266648.0,272281.0,279283.0,282283.0,283983.0,284333.0,282300.0,281600.0,280600.0,280633.0,277825.0,277159.0,282327.0,291835.0,297152.0,299317.0,302650.0,309000.0,311000.0,311333.0,309667.0,308667.0,305000.0,304967.0,311600.0,323267.0,333300.0,340241.0,344741.0,348075.0
San Diego,395056,CA,508000.0,508000.0,514667.0,522000.0,535333.0,543667.0,550000.0,551667.0,548333.0,546417.0,547417.0,551750.0,551417.0,550250.0,553917.0,567833.0,579667.0,586667.0,590000.0,594167.0,594500.0,589500.0,586167.0,578917.0,577250.0,571417.0,575000.0,577667.0,581000.0,587667.0,590000.0,596667.0,590000.0,591000.0,593333.0,595333.0,598417.0,599417.0,605750.0,605000.0,601667.0,603333.0,616667.0,633333.0,651000.0,657667.0,662000.0,657667.0,656000.0,664000.0,684000.0,707750.0,726083.0,742750.0,750667.0,748333.0
St. Louis,395121,MO,165133.0,164167.0,163833.0,166333.0,172000.0,178000.0,183000.0,182467.0,180783.0,176317.0,176183.0,174533.0,172333.0,170000.0,169833.0,174833.0,180500.0,185667.0,188333.0,187667.0,184271.0,180438.0,177105.0,177300.0,177000.0,176983.0,176850.0,179317.0,186000.0,194333.0,198667.0,200333.0,194500.0,192500.0,189451.0,191268.0,190268.0,185983.0,185000.0,189333.0,200000.0,206667.0,211667.0,216167.0,217167.0,215500.0,211000.0,209556.0,206889.0,203523.0,203217.0,206550.0,214917.0,223333.0,231000.0,231733.0
Tampa,395148,FL,193667.0,192000.0,192300.0,196300.0,201967.0,206667.0,211748.0,212748.0,211415.0,208333.0,210000.0,211667.0,211667.0,209667.0,210300.0,214359.0,218025.0,222059.0,224667.0,225700.0,224367.0,222700.0,224333.0,225950.0,225950.0,224950.0,223667.0,225333.0,227000.0,231000.0,235000.0,237667.0,236667.0,236000.0,235667.0,239000.0,239000.0,238333.0,236833.0,241500.0,246000.0,250427.0,253427.0,258260.0,261733.0,263066.0,263733.0,264000.0,264997.0,267163.0,270497.0,277167.0,284315.0,294315.0,300855.0,306507.0
Baltimore,394358,MD,273188.0,268333.0,265000.0,269167.0,279167.0,289704.0,295538.0,295204.0,291333.0,286333.0,284000.0,283408.0,280075.0,272742.0,271333.0,276333.0,287667.0,294667.0,299761.0,301761.0,301728.0,299042.0,298370.0,295903.0,289161.0,283500.0,282667.0,288667.0,296500.0,304800.0,314450.0,315448.0,313815.0,309165.0,306667.0,305000.0,298333.0,295000.0,295000.0,303333.0,308333.0,310074.0,310074.0,315074.0,320000.0,321633.0,321633.0,314967.0,310000.0,303333.0,303333.0,304000.0,314083.0,325083.0,335583.0,340500.0
Denver,394530,CO,362715.0,366049.0,371577.0,379900.0,386567.0,392000.0,392333.0,390000.0,383333.0,382000.0,382000.0,388000.0,392967.0,402133.0,408133.0,416500.0,421667.0,425000.0,423333.0,421544.0,416000.0,413167.0,409956.0,410500.0,408664.0,408647.0,411981.0,418317.0,426333.0,429667.0,433000.0,431667.0,430000.0,428333.0,427667.0,427667.0,427098.0,429431.0,437731.0,443392.0,446726.0,445926.0,450833.0,455833.0,459667.0,463000.0,464667.0,464122.0,460788.0,464122.0,479000.0,500667.0,522333.0,538333.0,546467.0,548133.0
