RegionName,1/31/2020,2/29/2020,3/31/2020,4/30/2020,5/31/2020,6/30/2020,7/31/2020,8/31/2020,9/30/2020,10/31/2020,11/30/2020,12/31/2020,1/31/2021,2/28/2021,3/31/2021,4/30/2021,5/31/2021,6/30/2021,7/31/2021,8/31/2021
"Wichita, KS","$150,883.00 ","$148,550.00 ","$150,633.00 ","$162,833.00 ","$167,833.00 ","$171,667.00 ","$173,542.00 ","$176,042.00 ","$179,208.00 ","$176,667.00 ","$174,583.00 ","$175,250.00 ","$173,750.00 ","$174,833.00 ","$174,133.00 ","$177,883.00 ","$193,550.00 ","$204,333.00 ","$215,583.00 ","$214,083.00 "
"Springfield, MA","$223,167.00 ","$219,167.00 ","$218,000.00 ","$222,167.00 ","$231,133.00 ","$235,633.00 ","$239,967.00 ","$243,333.00 ","$248,300.00 ","$250,300.00 ","$248,967.00 ","$249,000.00 ","$247,000.00 ","$244,667.00 ","$244,067.00 ","$247,400.00 ","$256,400.00 ","$267,000.00 ","$275,333.00 ","$279,667.00 "
"Fort Myers, FL","$238,220.00 ","$239,033.00 ","$242,367.00 ","$244,967.00 ","$246,000.00 ","$241,000.00 ","$241,000.00 ","$244,974.00 ","$249,974.00 ","$252,358.00 ","$254,550.00 ","$257,883.00 ","$258,500.00 ","$251,315.00 ","$245,315.00 ","$245,648.00 ","$252,333.00 ","$260,000.00 ","$261,152.00 ","$264,485.00 "
"Boise City, ID","$312,333.00 ","$314,300.00 ","$321,967.00 ","$323,633.00 ","$326,898.00 ","$331,562.00 ","$339,895.00 ","$351,663.00 ","$361,633.00 ","$369,933.00 ","$375,503.00 ","$382,701.00 ","$391,068.00 ","$402,165.00 ","$418,315.00 ","$434,978.00 ","$451,645.00 ","$463,330.00 ","$472,333.00 ","$477,333.00 "
"Toledo, OH","$127,333.00 ","$126,833.00 ","$127,733.00 ","$133,067.00 ","$138,067.00 ","$139,383.00 ","$142,217.00 ","$138,883.00 ","$142,317.00 ","$140,650.00 ","$143,317.00 ","$144,167.00 ","$145,500.00 ","$141,133.00 ","$140,717.00 ","$141,383.00 ","$145,417.00 ","$147,000.00 ","$151,667.00 ","$157,667.00 "
"Madison, WI","$270,000.00 ","$269,500.00 ","$272,167.00 ","$282,633.00 ","$288,382.00 ","$297,349.00 ","$294,716.00 ","$296,633.00 ","$294,833.00 ","$295,833.00 ","$296,833.00 ","$297,000.00 ","$297,000.00 ","$292,333.00 ","$302,333.00 ","$312,333.00 ","$327,000.00 ","$332,000.00 ","$338,667.00 ","$341,000.00 "
"Lakeland, FL","$215,997.00 ","$214,497.00 ","$214,432.00 ","$214,432.00 ","$214,098.00 ","$214,833.00 ","$219,000.00 ","$222,800.00 ","$225,467.00 ","$226,378.00 ","$228,412.00 ","$231,412.00 ","$232,333.00 ","$233,667.00 ","$235,667.00 ","$239,000.00 ","$244,333.00 ","$250,997.00 ","$258,313.00 ","$264,980.00 "
"Ogden, UT","$293,667.00 ","$295,333.00 ","$296,788.00 ","$305,788.00 ","$314,121.00 ","$319,133.00 ","$326,133.00 ","$331,800.00 ","$340,667.00 ","$339,667.00 ","$341,083.00 ","$341,417.00 ","$343,833.00 ","$342,500.00 ","$349,833.00 ","$365,750.00 ","$388,333.00 ","$405,667.00 ","$415,833.00 ","$420,497.00 "
"Daytona Beach, FL","$227,297.00 ","$226,633.00 ","$227,333.00 ","$227,333.00 ","$228,333.00 ","$230,167.00 ","$236,167.00 ","$240,783.00 ","$243,283.00 ","$243,950.00 ","$246,333.00 ","$249,000.00 ","$251,500.00 ","$255,100.00 ","$259,100.00 ","$265,930.00 ","$269,297.00 ","$274,297.00 ","$279,133.00 ","$285,800.00 "
"Des Moines, IA","$216,681.00 ","$210,327.00 ","$209,250.00 ","$214,250.00 ","$222,583.00 ","$226,667.00 ","$228,500.00 ","$234,167.00 ","$234,167.00 ","$236,333.00 ","$234,000.00 ","$237,917.00 ","$238,190.00 ","$236,405.00 ","$234,155.00 ","$237,882.00 ","$243,000.00 ","$249,667.00 ","$252,878.00 ","$259,045.00 "
"Provo, UT","$332,332.00 ","$335,000.00 ","$336,667.00 ","$343,333.00 ","$341,333.00 ","$348,000.00 ","$350,667.00 ","$362,667.00 ","$366,167.00 ","$370,167.00 ","$373,000.00 ","$380,065.00 ","$386,565.00 ","$392,065.00 ","$399,833.00 ","$418,333.00 ","$435,000.00 ","$450,208.00 ","$456,592.00 ","$463,258.00 "
"Durham, NC","$297,333.00 ","$293,833.00 ","$300,667.00 ","$306,000.00 ","$308,167.00 ","$303,333.00 ","$301,333.00 ","$308,667.00 ","$308,417.00 ","$310,142.00 ","$307,808.00 ","$310,730.00 ","$308,005.00 ","$303,505.00 ","$311,333.00 ","$326,667.00 ","$347,500.00 ","$361,152.00 ","$373,486.00 ","$377,474.00 "
"Fort Collins, CO","$391,500.00 ","$394,167.00 ","$394,216.00 ","$395,106.00 ","$397,439.00 ","$400,296.00 ","$401,141.00 ","$409,151.00 ","$420,412.00 ","$429,343.00 ","$425,500.00 ","$415,469.00 ","$415,036.00 ","$421,026.00 ","$433,057.00 ","$435,306.00 ","$448,134.00 ","$454,134.00 ","$470,985.00 ","$476,333.00 "
